address,metro_stations,total_info,price,price_per_meter,developer,additional_flat_info,bti_house_data
"Москва, ЦАО, р-н Хамовники, Малая Пироговская ул., 8На карте",Спортивная ⋅ 11 мин. пешкомФрунзенская ⋅ 12 мин. пешкомПарк Культуры ⋅ 5 мин. на транспорте,"100,8 м²
Общая
44 м²
Жилая
16,8 м²
Кухня
10 из 12
Этаж
2 кв. 2015
Срок сдачи",82 756 480 ₽,N_A,Донстрой,"Тип жилья
Новостройка
Площадь комнат
21.5 22.5 м²
Высота потолков
3 м
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, ЗАО, р-н Раменки, ул. ЛобачевскогоНа карте",Мичуринский проспект ⋅ 14 мин. пешкомРаменки ⋅ 3 мин. на транспортеЛомоносовский проспект ⋅ 5 мин. на транспорте,"87,8 м²
Общая
45,1 м²
Жилая
14,8 м²
Кухня
5 из 11
Этаж
4 кв. 2021
Срок сдачи",49 835 770 ₽,N_A,Донстрой,"Тип жилья
Новостройка
Площадь комнат
25.6 19.5 м²
Высота потолков
3,65 м
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, ЦАО, р-н Замоскворечье, Стремянный пер., 10На карте",Павелецкая ⋅ 4 мин. пешкомСерпуховская ⋅ 10 мин. пешкомДобрынинская ⋅ 12 мин. пешком,"58,1 м²
Общая
27,7 м²
Жилая
14,2 м²
Кухня
2 из 10
Этаж
4 кв. 2023
Срок сдачи",21 915 320 ₽,N_A,МИЦ,"Тип жилья
Новостройка Апартаменты
Площадь комнат
27.70 м²
Высота потолков
2,8 м
Санузел
1 совмещенный",N_A
"Москва, ЦАО, р-н Таганский, Серебряническая наб.На карте",Китай-город ⋅ 15 мин. пешкомЧкаловская ⋅ 15 мин. пешкомТаганская ⋅ 16 мин. пешком,"62,5 м²
Общая
38,9 м²
Жилая
7,7 м²
Кухня
4 из 9
Этаж
4 кв. 2020
Срок сдачи",37 142 375 ₽,N_A,Центр-Инвест,"Тип жилья
Новостройка Апартаменты
Площадь комнат
38.90 м²
Высота потолков
3,6 м",N_A
"Москва, СВАО, р-н Бутырский, Огородный проезд, вл20На карте",Улица Милашенкова ⋅ 4 мин. пешкомФонвизинская ⋅ 6 мин. пешкомТимирязевская ⋅ 15 мин. пешком,"73,7 м²
Общая
30,6 м²
Жилая
20,7 м²
Кухня
19 из 23
Этаж
2020
Срок сдачи",18 203 900 ₽,N_A,РГ-Девелопмент,"Тип жилья
Новостройка
Площадь комнат
30.60 м²
Высота потолков
3 м
Санузел
1 раздельный
Отделка
Нет",N_A
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.На карте",Улица 1905 года ⋅ 6 мин. пешкомКраснопресненская ⋅ 18 мин. пешкомБаррикадная ⋅ 3 мин. на транспорте,"59,92 м²
Общая
14,9 м²
Жилая
23,4 м²
Кухня
3 из 13
Этаж
2 кв. 2022
Срок сдачи",35 532 560 ₽,N_A,VESPER,"Тип жилья
Новостройка
Площадь комнат
14.86 м²
Высота потолков
3 м
Санузел
1 совмещенный
Отделка
Чистовая",N_A
"Москва, ЮАО, р-н Даниловский, Дубининская ул.На карте",Серпуховская ⋅ 16 мин. пешкомПавелецкая ⋅ 17 мин. пешкомТульская ⋅ 3 мин. на транспорте,"64 м²
Общая
27 м²
Жилая
23,4 м²
Кухня
2 из 46
Этаж
2 кв. 2023
Срок сдачи",20 671 360 ₽,N_A,MR Group,"Тип жилья
Новостройка
Площадь комнат
14.58-12.37 м²
Санузел
2 совмещенных
Вид из окон
Во двор
Отделка
Черновая",N_A
"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Александры Монаховой, вл1На карте",Бульвар Адмирала Ушакова ⋅ 9 мин. на транспортеКоммунарка ⋅ 13 мин. на транспортеОльховая ⋅ 5 мин. на транспорте,"68,9 м²
Общая
30 м²
Жилая
21,5 м²
Кухня
11 из 16
Этаж
4 кв. 2021
Срок сдачи",11 443 666 ₽,N_A,А101,"Тип жилья
Новостройка
Площадь комнат
12.6 17.4 м²
Высота потолков
3,14 м
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
1 лоджия
Вид из окон
На улицу и двор
Отделка
Нет",N_A
"Москва, СЗАО, р-н Хорошево-Мневники, 3-я Хорошевская ул., 19к3с2На карте",Улица Народного Ополчения откроется в 2020 ⋅ 17 мин. пешкомХорошево ⋅ 20 мин. пешкомПолежаевская ⋅ 4 мин. на транспорте,"47 м²
Общая
16,4 м²
Жилая
17,7 м²
Кухня
6 из 20
Этаж
2 кв. 2023
Срок сдачи",12 337 500 ₽,N_A,МИЦ,"Тип жилья
Новостройка
Площадь комнат
16.40 м²
Высота потолков
3,1 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон, 1 лоджия",N_A
"Москва, ЮВАО, р-н Южнопортовый, Волгоградский просп., 32/3к4На карте",Волгоградский проспект ⋅ 7 мин. пешкомУгрешская ⋅ 12 мин. пешкомДубровка ⋅ 3 мин. на транспорте,"67 м²
Общая
26 м²
Жилая
18,4 м²
Кухня
30 из 30
Этаж
3 кв. 2021
Срок сдачи",17 359 700 ₽,N_A,MR Group,"Тип жилья
Новостройка
Площадь комнат
10.65-15.38 м²
Санузел
2 совмещенных, 1 раздельный
Вид из окон
Во двор",N_A
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1На карте",Деловой центр ⋅ 3 мин. пешкомМеждународная ⋅ 6 мин. пешкомВыставочная ⋅ 7 мин. пешком,"107 м²
Общая
76,6 м²
Жилая
5 м²
Кухня
53 из 73
Этаж",56 811 917 ₽,N_A,Capital Mars,"Тип жилья
Вторичка Апартаменты
Площадь комнат
53.2-23.4 м²
Высота потолков
3,5 м
Санузел
1 совмещенный, 1 раздельный
Ремонт
Дизайнерский","О доме
По данным Циан
Год постройки
2010
Тип дома
Монолитный
Лифты
Есть
Аварийность
Нет"
"Москва, ЮАО, р-н Орехово-Борисово Южное, Ясеневая 14 жилой комплексНа карте",Домодедовская ⋅ 15 мин. пешкомЗябликово ⋅ 19 мин. пешкомКрасногвардейская ⋅ 2 мин. на транспорте,"71,7 м²
Общая
31,1 м²
Жилая
21,4 м²
Кухня
2 из 16
Этаж
4 кв. 2020
Срок сдачи",14 390 190 ₽,N_A,ПИК,"Тип жилья
Новостройка
Площадь комнат
16.6-14.5 м²
Высота потолков
2,7 м
Санузел
2 совмещенных
Вид из окон
На улицу
Отделка
Чистовая",N_A
"Москва, ЮЗАО, р-н Черемушки, Херсонская ул.На карте",Зюзино откроется в 2021 ⋅ 16 мин. пешкомКалужская ⋅ 18 мин. пешкомНовые Черемушки ⋅ 5 мин. на транспорте,"44,8 м²
Общая
24,6 м²
Жилая
21 из 32
Этаж
2020
Срок сдачи",14 246 400 ₽,N_A,Ташир,"Тип жилья
Новостройка
Площадь комнат
24.57 м²
Высота потолков
3,1 м
Санузел
1 совмещенный
Отделка
Черновая",N_A
"Москва, ЦАО, р-н Хамовники, Барыковский пер., 6На карте",Кропоткинская ⋅ 8 мин. пешкомПарк Культуры ⋅ 8 мин. пешкомСмоленская ⋅ 15 мин. пешком,"106,9 м²
Общая
10 м²
Кухня
2 из 9
Этаж
2008
Построен",66 278 000 ₽,N_A,Delight Realty,"Тип жилья
Вторичка
Высота потолков
3 м
Санузел
2 совмещенных
Ремонт
Евроремонт","О доме
По данным Циан
Лифты
Есть
Аварийность
Нет
Парковка
Подземная"
"Москва, ЗАО, р-н Ново-Переделкино, 9-я Чоботовская аллея, 35С1На карте",Боровское шоссе ⋅ 9 мин. пешкомНовопеределкино ⋅ 15 мин. пешкомСолнцево ⋅ 5 мин. на транспорте,"76,14 м²
Общая
3 из 3
Этаж
2 кв. 2021
Срок сдачи",20 854 746 ₽,N_A,Crane Development,"Тип жилья
Новостройка Апартаменты
Высота потолков
3,4 м
Санузел
1 совмещенный
Отделка
Чистовая",N_A
"Москва, СВАО, р-н Ярославский, ул. Красная СоснаНа карте",Выставочный центр ⋅ 6 мин. на транспортеВДНХ ⋅ 7 мин. на транспортеУлица Академика Королева ⋅ 7 мин. на транспорте,"41,1 м²
Общая
16 м²
Жилая
13,7 м²
Кухня
8 из 22
Этаж
3 кв. 2021
Срок сдачи",10 233 900 ₽,N_A,ФСК,"Тип жилья
Новостройка
Площадь комнат
16.00 м²
Балкон/лоджия
1 балкон
Отделка
Чистовая",N_A
"Москва, СВАО, р-н Марьина роща, Складочная ул., 6ск13На карте",Савеловская ⋅ 13 мин. пешкомДмитровская ⋅ 18 мин. пешкомМарьина роща ⋅ 2 мин. на транспорте,"60,45 м²
Общая
23,8 м²
Жилая
21,2 м²
Кухня
3 из 14
Этаж
4 кв. 2021
Срок сдачи",14 145 300 ₽,N_A,ПИК,"Тип жилья
Новостройка
Площадь комнат
12.57-11.21 м²
Высота потолков
2,72 м
Санузел
2 раздельных
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, СЗАО, р-н Щукино, ул. БерзаринаНа карте",Октябрьское поле ⋅ 20 мин. пешкомЗорге ⋅ 5 мин. на транспортеЩукинская ⋅ 4 мин. на транспорте,"62,54 м²
Общая
29,7 м²
Жилая
17,5 м²
Кухня
19 из 22
Этаж
2021
Срок сдачи",16 072 780 ₽,N_A,РГ-Девелопмент,"Тип жилья
Новостройка
Площадь комнат
29.65 м²
Высота потолков
3,1 м
Санузел
1 раздельный
Отделка
Нет",N_A
"Москва, ЗАО, р-н Фили-Давыдково, Звенигородская ул., 8К2На карте",Пионерская ⋅ 8 мин. пешкомКунцевская ⋅ 18 мин. пешком,"143 м²
Общая
120 м²
Жилая
10 м²
Кухня
3 из 9
Этаж
2000
Построен",69 500 000 ₽,N_A,N_A,"Тип жилья
Вторичка
Санузел
1 совмещенный, 1 раздельный
Балкон/лоджия
1 лоджия
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2000
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
3
Лифты
Есть
Аварийность
Нет"
"Москва, СВАО, р-н Марьина роща, проезд 12-й Марьиной рощи, 8На карте",Марьина роща ⋅ 13 мин. пешкомБутырская ⋅ 20 мин. пешкомУлица Академика Королева ⋅ 4 мин. на транспорте,"81,4 м²
Общая
3 из 5
Этаж
3 кв. 2019
Срок сдачи",21 261 680 ₽,N_A,KR Properties,"Тип жилья
Новостройка Апартаменты
Площадь комнат
16.8-11.5 м²
Высота потолков
3,5 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Вид из окон
На улицу и двор
Отделка
Нет",N_A
"Москва, ЦАО, р-н Пресненский, Средний Тишинский пер., вл5-7На карте",Белорусская ⋅ 10 мин. пешкомМаяковская ⋅ 16 мин. пешкомБаррикадная ⋅ 17 мин. пешком,"95,2 м²
Общая
36,6 м²
Жилая
24,7 м²
Кухня
3 из 18
Этаж
2 кв. 2021
Срок сдачи",58 200 000 ₽,N_A,Донстрой,"Тип жилья
Новостройка
Площадь комнат
16.9 19.7 м²
Высота потолков
3,23 м
Санузел
2 совмещенных
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12На карте",Деловой центр ⋅ 7 мин. пешкомМеждународная ⋅ 8 мин. пешкомВыставочная ⋅ 11 мин. пешком,"141,8 м²
Общая
97,2 м²
Жилая
81 из 95
Этаж
2017
Построен",93 588 000 ₽,N_A,БЦ-Аренда,"Тип жилья
Вторичка Апартаменты
Планировка
Изолированная
Площадь комнат
79.7+17.51 м²
Санузел
2 совмещенных
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2017
Тип дома
Монолитный
Лифты
Есть
Аварийность
Нет
Парковка
Подземная
Мусоропровод
Нет"
"Москва, СВАО, р-н Свиблово, проезд Серебрякова, 11к4На карте",Ботанический сад ⋅ 9 мин. пешкомСвиблово ⋅ 14 мин. пешкомБабушкинская ⋅ 4 мин. на транспорте,"86,3 м²
Общая
2 из 7
Этаж
3 кв. 2019
Срок сдачи",15 033 460 ₽,N_A,AFI Development,"Тип жилья
Новостройка Апартаменты",N_A
"Москва, САО, р-н Ховрино, ул. Дыбенко, 1к4На карте",Беломорская ⋅ 9 мин. пешкомХоврино ⋅ 12 мин. пешкомРечной вокзал ⋅ 3 мин. на транспорте,"56,4 м²
Общая
26,8 м²
Жилая
15,5 м²
Кухня
18 из 23
Этаж
2 кв. 2021
Срок сдачи",15 517 299 ₽,N_A,MR Group,"Тип жилья
Новостройка
Площадь комнат
12.30-14.50 м²
Санузел
2 совмещенных
Вид из окон
На улицу",N_A
"Москва, САО, р-н Ховрино, ул. Дыбенко, 7к2На карте",Ховрино ⋅ 2 мин. пешкомБеломорская ⋅ 3 мин. на транспортеРечной вокзал ⋅ 5 мин. на транспорте,"63,14 м²
Общая
27,5 м²
Жилая
18,9 м²
Кухня
14 из 30
Этаж
1 кв. 2021
Срок сдачи",16 435 342 ₽,N_A,MR Group,"Тип жилья
Новостройка
Площадь комнат
17.0-10.5 м²
Санузел
2 совмещенных, 1 раздельный
Вид из окон
На улицу",N_A
"Москва, СЗАО, р-н Хорошево-Мневники, бул. Генерала КарбышеваНа карте",Октябрьское поле ⋅ 5 мин. на транспортеЗорге ⋅ 7 мин. на транспортеПанфиловская ⋅ 9 мин. на транспорте,"41 м²
Общая
23 из 28
Этаж
2 кв. 2021
Срок сдачи",14 555 000 ₽,N_A,КРОСТ,"Тип жилья
Новостройка
Высота потолков
3,1 м
Отделка
Нет",N_A
"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул., 16С1На карте",Алексеевская ⋅ 9 мин. пешкомВДНХ ⋅ 4 мин. на транспортеРжевская откроется в 2022 ⋅ 4 мин. на транспорте,"80,2 м²
Общая
29,4 м²
Жилая
20,2 м²
Кухня
6 из 19
Этаж
4 кв. 2021
Срок сдачи",17 949 550 ₽,N_A,Эталон,"Тип жилья
Новостройка Апартаменты
Площадь комнат
15.03-14.34 м²
Высота потолков
3,25 м
Санузел
2 совмещенных
Балкон/лоджия
1 лоджия
Отделка
Нет",N_A
"Москва, ЮВАО, р-н Лефортово, Лефортово Парк жилой комплекс, к11На карте",Авиамоторная ⋅ 11 мин. пешкомМосква-Товарная ⋅ 4 мин. на транспортеЛефортово ⋅ 4 мин. на транспорте,"35 м²
Общая
11 м²
Жилая
10,3 м²
Кухня
3 из 23
Этаж
4 кв. 2020
Срок сдачи",12 365 500 ₽,N_A,ПИК,"Тип жилья
Новостройка
Площадь комнат
11 м²
Высота потолков
2,85 м
Санузел
1 совмещенный
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, САО, р-н Аэропорт, Ленинградский просп., 36с31На карте",Динамо ⋅ 11 мин. пешкомПетровский Парк ⋅ 13 мин. пешкомБеговая ⋅ 3 мин. на транспорте,"176,6 м²
Общая
58 м²
Жилая
10 из 10
Этаж
4 кв. 2017
Срок сдачи",165 525 373 ₽,N_A,Динамо,"Тип жилья
Новостройка Апартаменты
Площадь комнат
23.10-34.91 м²
Высота потолков
3,2 м
Санузел
2 совмещенных, 1 раздельный
Отделка
Чистовая",N_A
"Москва, ЮАО, р-н Даниловский, Автозаводская ул.На карте",Технопарк ⋅ 12 мин. пешкомЗИЛ ⋅ 5 мин. на транспортеКоломенская ⋅ 4 мин. на транспорте,"71,2 м²
Общая
33,1 м²
Жилая
21,8 м²
Кухня
12 из 14
Этаж
4 кв. 2021
Срок сдачи",19 363 049 ₽,N_A,Эталон,"Тип жилья
Новостройка
Площадь комнат
33.10 м²
Высота потолков
3,1 м",N_A
"Москва, ЦАО, р-н Якиманка, пер. 2-й ХвостовНа карте",Полянка ⋅ 2 мин. пешкомОктябрьская ⋅ 8 мин. пешкомДобрынинская ⋅ 13 мин. пешком,"133,47 м²
Общая
43,2 м²
Жилая
48,9 м²
Кухня
3 из 6
Этаж
3 кв. 2021
Срок сдачи",96 837 423 ₽,N_A,Центр-Инвест,"Тип жилья
Новостройка
Площадь комнат
22.68-20.5 м²
Высота потолков
3,5 м
Санузел
2 совмещенных, 1 раздельный",N_A
"Москва, ЗАО, р-н Можайский, пер. 2-й Петра АлексееваНа карте",Давыдково откроется в 2021 ⋅ 4 мин. на транспортеКунцевская ⋅ 5 мин. на транспортеМожайская откроется в 2021 ⋅ 6 мин. на транспорте,"40,93 м²
Общая
14,9 м²
Жилая
13,1 м²
Кухня
24 из 28
Этаж
2 кв. 2021
Срок сдачи",14 077 000 ₽,N_A,Инград,"Тип жилья
Новостройка
Площадь комнат
14.92 м²
Высота потолков
3,3 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Отделка
Нет",N_A
"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 71к13На карте",Спартак ⋅ 14 мин. пешкомТушинская ⋅ 5 мин. на транспортеПокровское-Стрешнево ⋅ 5 мин. на транспорте,"61 м²
Общая
23,8 м²
Жилая
21,1 м²
Кухня
24 из 24
Этаж
3 кв. 2022
Срок сдачи",15 091 400 ₽,N_A,ПИК,"Тип жилья
Новостройка
Площадь комнат
12.4-11.4 м²
Высота потолков
3 м
Санузел
2 раздельных
Вид из окон
На улицу
Отделка
Нет",N_A
"Москва, ЗАО, р-н Раменки, ул. Лобачевского, 120На карте",Аминьевское шоссе откроется в 2021 ⋅ 8 мин. пешкомМичуринский проспект ⋅ 4 мин. на транспортеРаменки ⋅ 5 мин. на транспорте,"36,32 м²
Общая
16 из 39
Этаж
1 кв. 2021
Срок сдачи",12 925 391 ₽,N_A,Среда обитания,"Тип жилья
Новостройка
Высота потолков
3,1 м
Отделка
Нет",N_A
